.,assign,bool,comma,compl,const,div,do,domain,else,emit,eq,float,floatval,geq,gt,id,if,int,intval,lbrace,leq,lparen,lt,minus,mod,mult,not,plus,rand,rbrace,returns,rparen,sc,string,stringval,symtable,while,$,MODPARTS,GOTDECLLIST,GFTDECLLIST,FUNSIG,FUNCTION,EMIT,RAND,IF,IFELSE,WHILE,DOWHILE,ASSIGN,OTHERTYPE,DECLIDS,FUNTYPE,PARAMLIST,EXPR,STEPS,BRACESTMTS,BSTMTS,BSTMT,DECLLIST,SOLOSTMT,DECLTYPE,DECLID,BEXPR,AEXPR,FUNCALL,ARGLIST,BOOLS,PLUS,TIMES,SUM,PRODUCT,VALUE,UNARY,CAST
44,,sh-1,,,sh-2,,sh-3,,,sh-4,,sh-5,,,,sh-6,sh-7,sh-8,,,,,,,,,,,sh-9,,,,,sh-10,,,sh-11,r-10,sh-94,sh-13,sh-14,sh-15,sh-16,sh-17,sh-18,sh-19,sh-20,sh-21,sh-22,sh-23,sh-24,,sh-25,,,,,,,,,,,,,,,,,,,,,,
45,,sh-1,,,sh-2,,sh-3,,,sh-4,,sh-5,,,,sh-6,sh-7,sh-8,,,,,,,,,,,sh-9,,,,,sh-10,,,sh-11,r-12,sh-95,sh-13,sh-14,sh-15,sh-16,sh-17,sh-18,sh-19,sh-20,sh-21,sh-22,sh-23,sh-24,,sh-25,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,sh-1,,,sh-2,,sh-3,,,sh-4,,sh-5,,,,sh-6,sh-7,sh-8,,,,,,,,,,,sh-9,,,,,sh-10,,,sh-11,r-22,sh-96,sh-13,sh-14,sh-15,sh-16,sh-17,sh-18,sh-19,sh-20,sh-21,sh-22,sh-23,sh-24,,sh-25,,,,,,,,,,,,,,,,,,,,,,
51,sh-34,,r-61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,r-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,sh-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,r-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,sh-34,,r-61,,,,,,,,,,,,,,,,,,,sh-98,,,,,,,,,,,r-61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,sh-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,sh-1,,,sh-2,,sh-3,,,sh-4,,sh-5,,,,sh-6,sh-7,sh-8,,sh-29,,,,,,,,,sh-9,sh-99,,,,sh-10,,,sh-11,,,,,,,sh-100,sh-101,sh-102,sh-103,sh-104,sh-105,sh-106,sh-107,,sh-108,,,,sh-109,,sh-110,sh-111,,sh-112,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,sh-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,sh-60,,sh-61,,,,sh-62,,,,sh-63,sh-64,,,sh-65,,sh-66,sh-67,,,sh-68,,sh-69,,,sh-70,sh-71,,,,,,,sh-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-114,,,,sh-74,,sh-75,sh-76,sh-77,sh-78,sh-79
60,,,,,,,,,,,,,,,,,,,,,,sh-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,sh-60,,sh-61,,,,sh-62,,,,sh-63,sh-64,,,sh-65,,sh-66,sh-67,,,sh-68,,sh-69,,,sh-70,sh-71,,,,,,,sh-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-74,,,,sh-116,sh-78,sh-79
62,,,,,,,,,,,,,,,,,,,,,,sh-117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,sh-118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,r-98,,,r-98,,,,r-98,r-98,,,r-98,r-98,r-98,r-98,,,r-98,r-98,,r-98,r-98,r-98,r-98,,r-98,r-98,,,r-98,r-98,,,,r-98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,r-100,,,r-100,,,,r-100,r-100,,,r-100,r-100,r-100,r-100,,,r-100,r-100,,r-100,r-100,r-100,r-100,,r-100,r-100,,,r-100,r-100,,,,r-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,sh-119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,r-97,,,r-97,,,,r-97,r-97,,,r-97,r-97,r-97,r-97,,,r-97,r-97,,r-97,r-97,r-97,r-97,,r-97,r-97,,,r-97,r-97,,,,r-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
