.,$,sc,bool,int,float,const,string,id,lparen,rparen,comma,returns,assign,lbrace,rbrace,if,else,while,do,lt,leq,eq,geq,gt,plus,minus,mult,div,mod,domain,intval,floatval,stringval,not,compl,emit,symtable,rand,MODULE,MODPARTS,GOTDECLLIST,GFTDECLLIST,FUNTYPE,OTHERTYPE,FUNSIG,PARAMLIST,FUNCTION,BRACESTMTS,BSTMTS,BSTMT,SOLOSTMT,STEPS,DECLTYPE,DECLID,DECLIDS,DECLLIST,ASSIGN,IF,IFELSE,WHILE,DOWHILE,EXPR,FUNCALL,ARGLIST,BOOLS,BEXPR,PLUS,TIMES,AEXPR,SUM,PRODUCT,VALUE,UNARY,CAST,EMIT,RAND
131,,,sh-62,sh-63,sh-64,,,sh-86,sh-66,,,,,,,,,,,,,,,,sh-67,sh-68,,,,sh-69,sh-70,sh-71,sh-72,sh-73,sh-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-79,,sh-172,sh-81,sh-82,sh-83,sh-84,sh-85,,
132,,r-89,,,,,,r-89,,r-89,r-89,,,r-89,,r-89,,r-89,,r-89,r-89,r-89,r-89,r-89,,,,,,,,,,,,r-89,,r-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,sh-62,sh-63,sh-64,,,sh-86,sh-66,,,,,,,,,,,,,,,,sh-67,sh-68,,,,sh-69,sh-70,sh-71,sh-72,sh-73,sh-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-79,,,,sh-173,sh-83,sh-84,sh-85,,
134,,r-91,,,,,,r-91,,r-91,r-91,,,r-91,,r-91,,r-91,,r-91,r-91,r-91,r-91,r-91,r-91,r-91,,,,,,,,,,r-91,,r-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,r-86,r-86,r-86,,,r-86,r-86,,,,,,,,,,,,,,,,r-86,r-86,,,,r-86,r-86,r-86,r-86,r-86,r-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,r-87,r-87,r-87,,,r-87,r-87,,,,,,,,,,,,,,,,r-87,r-87,,,,r-87,r-87,r-87,r-87,r-87,r-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,r-88,r-88,r-88,,,r-88,r-88,,,,,,,,,,,,,,,,r-88,r-88,,,,r-88,r-88,r-88,r-88,r-88,r-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,sh-62,sh-63,sh-64,,,sh-86,sh-66,,,,,,,,,,,,,,,,sh-67,sh-68,,,,sh-69,sh-70,sh-71,sh-72,sh-73,sh-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-79,,,,,sh-174,sh-84,sh-85,,
139,,sh-175,,,,,,sh-6,,,,,,sh-32,,sh-7,,sh-8,,,,,,,,,,,,,,,,,,sh-10,,sh-11,,,,,,,,,,sh-176,,,sh-177,sh-178,,,,,sh-179,sh-180,sh-181,sh-182,,,,,,,,,,,,,,,sh-183,sh-184
140,,sh-175,,,,,,sh-6,,,,,,sh-32,,sh-7,,sh-8,,,,,,,,,,,,,,,,,,sh-10,,sh-11,,,,,,,,,,sh-185,,,sh-177,sh-186,,,,,sh-179,sh-180,sh-181,sh-182,,,,,,,,,,,,,,,sh-183,sh-184
141,r-37,,r-37,r-37,r-37,r-37,r-37,r-37,,,,,,r-37,r-37,r-37,r-37,r-37,r-37,,,,,,,,,,,,,,,,,r-37,,r-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,r-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,r-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,r-40,r-40,r-40,r-40,r-40,r-40,,,,,,r-40,r-40,r-40,,r-40,r-40,,,,,,,,,,,,,,,,,r-40,,r-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,r-38,r-38,r-38,r-38,r-38,r-38,,,,,,r-38,r-38,r-38,,r-38,r-38,,,,,,,,,,,,,,,,,r-38,,r-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,sh-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-42,sh-187,,sh-44,,,,,,,,,,,,,,,,,,,
147,,sh-188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,sh-189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,r-43,r-43,r-43,r-43,r-43,r-43,,,,,,r-43,r-43,r-43,,r-43,r-43,,,,,,,,,,,,,,,,,r-43,,r-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,r-44,r-44,r-44,r-44,r-44,r-44,,,,,,r-44,r-44,r-44,,r-44,r-44,,,,,,,,,,,,,,,,,r-44,,r-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,r-46,r-46,r-46,r-46,r-46,r-46,,,,,,r-46,r-46,r-46,,r-46,r-46,,,,,,,,,,,,,,,,,r-46,,r-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,r-45,r-45,r-45,r-45,r-45,r-45,,,,,,r-45,r-45,r-45,,r-45,r-45,,,,,,,,,,,,,,,,,r-45,,r-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,sh-190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,sh-191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,sh-62,sh-63,sh-64,,,sh-86,sh-66,,,,,,,,,,,,,,,,sh-67,sh-68,,,,sh-69,sh-70,sh-71,sh-72,sh-73,sh-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-192,sh-79,,sh-88,sh-81,sh-82,sh-83,sh-84,sh-85,,
156,,,,,,,,,,,sh-193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,r-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,sh-194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,r-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,sh-195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,sh-196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
